salary_range,time_horizon,risk_appetite,industry,career
12–18 LPA,Short-term,High-growth,Technology,IoT Specialist
18+ LPA,Long-term,High-growth,Consulting,Partner
18+ LPA,Medium-term,Moderate,Technology,Solutions Architect
18+ LPA,Long-term,Moderate,Consulting,UX Designer
18+ LPA,Long-term,High-growth,Technology,Cloud Architect
12–18 LPA,Long-term,Stable,Consulting,HR Consultant
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
12–18 LPA,Long-term,Stable,Consulting,Change Management Consultant
3–6 LPA,Short-term,Stable,Healthcare,Pharmacy Technician
3–6 LPA,Short-term,Stable,Finance,Accounts Executive
18+ LPA,Long-term,High-growth,Healthcare,Medical Specialist
18+ LPA,Medium-term,Moderate,Technology,UX Designer
12–18 LPA,Short-term,High-growth,Consulting,Digital Transformation Consultant
18+ LPA,Medium-term,Moderate,Technology,Business Analyst
18+ LPA,Medium-term,High-growth,Consulting,Product Manager
6–12 LPA,Short-term,Stable,Public Sector,Government Clerk
6–12 LPA,Short-term,Stable,Consulting,Research Analyst
18+ LPA,Medium-term,Moderate,Finance,M&A Analyst
6–12 LPA,Short-term,Stable,Technology,IT Support Engineer
12–18 LPA,Medium-term,Moderate,Healthcare,Clinical Researcher
12–18 LPA,Long-term,Moderate,Technology,Business Analyst
6–12 LPA,Short-term,Stable,Healthcare,Nurse
12–18 LPA,Medium-term,Moderate,Healthcare,Pharmacist
6–12 LPA,Long-term,Stable,Public Sector,College Lecturer
12–18 LPA,Medium-term,Moderate,Technology,Full Stack Developer
3–6 LPA,Long-term,Stable,Healthcare,Patient Care Coordinator
18+ LPA,Medium-term,Moderate,Technology,Solutions Architect
6–12 LPA,Short-term,Stable,Finance,Bank PO
18+ LPA,Long-term,Stable,Technology,Technical Architect
18+ LPA,Long-term,Stable,Public Sector,University Professor
6–12 LPA,Short-term,Stable,Public Sector,Government Clerk
18+ LPA,Medium-term,Moderate,Technology,Principal Engineer
12–18 LPA,Medium-term,Moderate,Finance,Financial Analyst
18+ LPA,Long-term,High-growth,Technology,Data Scientist
6–12 LPA,Medium-term,Moderate,Technology,Mobile App Developer
3–6 LPA,Long-term,Stable,Public Sector,Anganwadi Worker
6–12 LPA,Short-term,Stable,Finance,Bank PO
18+ LPA,Medium-term,Moderate,Consulting,Practice Lead
18+ LPA,Medium-term,Moderate,Public Sector,ISRO Scientist
6–12 LPA,Medium-term,Moderate,Technology,Mobile App Developer
18+ LPA,Long-term,High-growth,Technology,Data Scientist
12–18 LPA,Medium-term,High-growth,Technology,Product Manager
18+ LPA,Long-term,Stable,Public Sector,Senior Bureaucrat
3–6 LPA,Short-term,Stable,Finance,Accounts Executive
12–18 LPA,Medium-term,Moderate,Finance,Project Manager
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
12–18 LPA,Long-term,Stable,Public Sector,State Civil Services
18+ LPA,Medium-term,High-growth,Healthcare,UX Designer
18+ LPA,Long-term,Moderate,Consulting,Project Manager
12–18 LPA,Long-term,Stable,Finance,Actuary
18+ LPA,Medium-term,Moderate,Technology,Principal Engineer
18+ LPA,Medium-term,Moderate,Technology,Principal Engineer
18+ LPA,Long-term,Moderate,Consulting,Business Analyst
18+ LPA,Long-term,High-growth,Technology,Data Scientist
18+ LPA,Medium-term,Moderate,Consulting,Senior Consultant
18+ LPA,Long-term,Stable,Finance,Risk Director
6–12 LPA,Short-term,Stable,Healthcare,Lab Technician
12–18 LPA,Short-term,High-growth,Consulting,Startup Advisor
6–12 LPA,Medium-term,Moderate,Finance,Tax Consultant
6–12 LPA,Short-term,Stable,Finance,Accountant
3–6 LPA,Short-term,Stable,Public Sector,Clerk
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
6–12 LPA,Short-term,Stable,Consulting,Research Analyst
18+ LPA,Long-term,High-growth,Finance,Investment Banker
18+ LPA,Long-term,High-growth,Public Sector,Judge
6–12 LPA,Short-term,Stable,Consulting,Research Analyst
18+ LPA,Long-term,High-growth,Finance,Portfolio Manager
18+ LPA,Long-term,Stable,Finance,Risk Director
6–12 LPA,Short-term,Stable,Technology,Junior Developer
6–12 LPA,Medium-term,Moderate,Finance,Tax Consultant
12–18 LPA,Medium-term,Moderate,Technology,Product Manager
12–18 LPA,Medium-term,Moderate,Technology,Cybersecurity Analyst
6–12 LPA,Short-term,Stable,Finance,Accountant
3–6 LPA,Short-term,Stable,Public Sector,Postman
18+ LPA,Long-term,Stable,Technology,Senior Software Engineer
18+ LPA,Long-term,High-growth,Consulting,Partner
18+ LPA,Long-term,Stable,Consulting,Client Partner
12–18 LPA,Medium-term,High-growth,Technology,Business Analyst
12–18 LPA,Medium-term,Moderate,Finance,Credit Analyst
3–6 LPA,Short-term,Stable,Technology,Help Desk Analyst
6–12 LPA,Short-term,Stable,Healthcare,Lab Technician
12–18 LPA,Long-term,Stable,Consulting,HR Consultant
6–12 LPA,Short-term,Stable,Technology,QA Engineer
12–18 LPA,Long-term,Stable,Finance,Compliance Officer
18+ LPA,Long-term,Stable,Public Sector,DRDO Scientist
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
12–18 LPA,Medium-term,Moderate,Technology,Product Manager
12–18 LPA,Medium-term,Moderate,Public Sector,Foreign Service Officer
12–18 LPA,Long-term,Moderate,Finance,Business Analyst
3–6 LPA,Long-term,Stable,Public Sector,Anganwadi Worker
18+ LPA,Long-term,Stable,Consulting,Client Partner
12–18 LPA,Long-term,Stable,Finance,Compliance Officer
18+ LPA,Medium-term,Moderate,Finance,M&A Analyst
6–12 LPA,Short-term,Stable,Technology,IT Support Engineer
12–18 LPA,Medium-term,Moderate,Technology,Project Manager
6–12 LPA,Medium-term,Moderate,Consulting,Sales Consultant
18+ LPA,Medium-term,Moderate,Technology,Principal Engineer
18+ LPA,Long-term,High-growth,Technology,Cloud Architect
12–18 LPA,Long-term,Stable,Public Sector,Public Sector Manager
12–18 LPA,Long-term,Stable,Finance,Compliance Officer
6–12 LPA,Medium-term,Moderate,Technology,Technical Writer
6–12 LPA,Short-term,Stable,Healthcare,Nurse
12–18 LPA,Long-term,Stable,Healthcare,Radiologist
12–18 LPA,Medium-term,Moderate,Finance,Equity Research Analyst
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
18+ LPA,Long-term,High-growth,Finance,Portfolio Manager
12–18 LPA,Long-term,Moderate,Healthcare,UX Designer
18+ LPA,Medium-term,Moderate,Technology,Principal Engineer
6–12 LPA,Long-term,Stable,Public Sector,School Teacher
12–18 LPA,Long-term,Moderate,Public Sector,Project Manager
3–6 LPA,Short-term,Stable,Public Sector,Postman
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
6–12 LPA,Short-term,Stable,Public Sector,Railway Officer
12–18 LPA,Medium-term,Moderate,Consulting,Data Scientist
12–18 LPA,Medium-term,Moderate,Finance,Credit Analyst
18+ LPA,Long-term,High-growth,Healthcare,Surgeon
12–18 LPA,Medium-term,Moderate,Technology,Full Stack Developer
18+ LPA,Medium-term,Moderate,Technology,UX Designer
6–12 LPA,Long-term,Stable,Public Sector,College Lecturer
18+ LPA,Long-term,Stable,Finance,Risk Director
6–12 LPA,Long-term,Stable,Public Sector,College Lecturer
12–18 LPA,Long-term,High-growth,Finance,Project Manager
12–18 LPA,Short-term,High-growth,Technology,Blockchain Developer
18+ LPA,Long-term,Stable,Finance,Risk Director
6–12 LPA,Short-term,Stable,Finance,Auditor
12–18 LPA,Medium-term,Moderate,Healthcare,Product Manager
18+ LPA,Long-term,High-growth,Technology,Business Analyst
6–12 LPA,Short-term,Stable,Public Sector,Bank PO
18+ LPA,Short-term,High-growth,Finance,Hedge Fund Manager
3–6 LPA,Long-term,Stable,Public Sector,Primary Teacher
18+ LPA,Medium-term,Moderate,Consulting,Senior Consultant
3–6 LPA,Short-term,Stable,Finance,Bank Clerk
6–12 LPA,Medium-term,Moderate,Technology,Mobile App Developer
12–18 LPA,Long-term,Stable,Technology,Database Administrator
18+ LPA,Long-term,High-growth,Technology,Data Scientist
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
18+ LPA,Long-term,Stable,Finance,VP Finance
12–18 LPA,Long-term,Stable,Consulting,Change Management Consultant
18+ LPA,Long-term,Stable,Public Sector,DRDO Scientist
3–6 LPA,Short-term,Stable,Finance,Bank Clerk
3–6 LPA,Long-term,Stable,Healthcare,Patient Care Coordinator
18+ LPA,Long-term,Stable,Healthcare,Hospital Administrator
18+ LPA,Long-term,Stable,Finance,VP Finance
18+ LPA,Long-term,Stable,Technology,Technical Architect
3–6 LPA,Short-term,Stable,Finance,Teller
18+ LPA,Long-term,Stable,Healthcare,Medical Director
18+ LPA,Long-term,High-growth,Finance,Portfolio Manager
6–12 LPA,Short-term,Stable,Public Sector,Bank PO
18+ LPA,Long-term,Stable,Technology,Senior Software Engineer
12–18 LPA,Short-term,High-growth,Consulting,Startup Advisor
12–18 LPA,Medium-term,Moderate,Consulting,IT Consultant
12–18 LPA,Short-term,High-growth,Consulting,Digital Transformation Consultant
18+ LPA,Medium-term,Moderate,Consulting,Practice Lead
6–12 LPA,Short-term,Stable,Consulting,Junior Consultant
3–6 LPA,Short-term,Stable,Public Sector,Peon
18+ LPA,Long-term,High-growth,Finance,Portfolio Manager
18+ LPA,Long-term,High-growth,Consulting,Partner
6–12 LPA,Long-term,Stable,Public Sector,College Lecturer
6–12 LPA,Medium-term,Moderate,Consulting,Marketing Consultant
6–12 LPA,Short-term,Stable,Consulting,Junior Consultant
12–18 LPA,Medium-term,Moderate,Consulting,Operations Consultant
18+ LPA,Long-term,Moderate,Technology,Data Scientist
12–18 LPA,Long-term,Moderate,Consulting,Product Manager
18+ LPA,Medium-term,Moderate,Consulting,Senior Consultant
6–12 LPA,Short-term,Stable,Healthcare,Lab Technician
12–18 LPA,Long-term,Stable,Technology,System Administrator
18+ LPA,Long-term,High-growth,Technology,Machine Learning Lead
12–18 LPA,Long-term,Stable,Technology,Database Administrator
3–6 LPA,Short-term,Stable,Finance,Accounts Executive
18+ LPA,Long-term,High-growth,Consulting,Business Analyst
18+ LPA,Long-term,Stable,Technology,Technical Architect
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
3–6 LPA,Short-term,Stable,Finance,Teller
3–6 LPA,Short-term,Stable,Consulting,Associate Analyst
6–12 LPA,Short-term,Stable,Healthcare,Lab Technician
18+ LPA,Short-term,High-growth,Technology,Startup CTO
18+ LPA,Medium-term,Moderate,Consulting,Senior Consultant
3–6 LPA,Long-term,Stable,Healthcare,Patient Care Coordinator
18+ LPA,Long-term,High-growth,Finance,Investment Banker
6–12 LPA,Long-term,Stable,Public Sector,School Teacher
6–12 LPA,Medium-term,Moderate,Technology,Technical Writer
18+ LPA,Short-term,High-growth,Finance,Hedge Fund Manager
18+ LPA,Medium-term,Moderate,Finance,Private Equity Associate
18+ LPA,Medium-term,Moderate,Technology,DevOps Lead
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
18+ LPA,Long-term,High-growth,Consulting,Management Consultant
18+ LPA,Long-term,High-growth,Finance,Business Analyst
12–18 LPA,Medium-term,Moderate,Technology,Cybersecurity Analyst
18+ LPA,Long-term,High-growth,Public Sector,IPS Officer
12–18 LPA,Long-term,High-growth,Consulting,Product Manager
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
18+ LPA,Medium-term,Moderate,Healthcare,Product Manager
18+ LPA,Long-term,High-growth,Finance,Quantitative Analyst
12–18 LPA,Medium-term,High-growth,Finance,Data Scientist
18+ LPA,Long-term,Moderate,Technology,Product Manager
18+ LPA,Long-term,Stable,Public Sector,DRDO Scientist
18+ LPA,Long-term,Stable,Public Sector,Senior Bureaucrat
6–12 LPA,Short-term,Stable,Consulting,Research Analyst
12–18 LPA,Medium-term,Moderate,Healthcare,Physiotherapist
12–18 LPA,Long-term,Moderate,Technology,Product Manager
18+ LPA,Long-term,Moderate,Finance,Data Scientist
18+ LPA,Long-term,High-growth,Consulting,Partner
18+ LPA,Medium-term,Moderate,Technology,DevOps Lead
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
18+ LPA,Long-term,Moderate,Healthcare,Product Manager
18+ LPA,Long-term,High-growth,Technology,Product Manager
6–12 LPA,Short-term,Stable,Healthcare,Nurse
12–18 LPA,Short-term,High-growth,Technology,IoT Specialist
12–18 LPA,Medium-term,Moderate,Finance,Credit Analyst
12–18 LPA,Short-term,High-growth,Technology,Blockchain Developer
6–12 LPA,Short-term,Stable,Public Sector,Railway Officer
6–12 LPA,Short-term,Stable,Consulting,Research Analyst
18+ LPA,Medium-term,High-growth,Technology,Project Manager
12–18 LPA,Long-term,Stable,Consulting,HR Consultant
6–12 LPA,Medium-term,Moderate,Consulting,Marketing Consultant
6–12 LPA,Short-term,Stable,Healthcare,Lab Technician
6–12 LPA,Medium-term,Moderate,Finance,Wealth Advisor
18+ LPA,Long-term,High-growth,Technology,Cloud Architect
18+ LPA,Short-term,High-growth,Finance,High Frequency Trader
6–12 LPA,Short-term,Stable,Healthcare,Medical Coder
12–18 LPA,Medium-term,Moderate,Healthcare,Pharmacist
3–6 LPA,Short-term,Stable,Finance,Bank Clerk
18+ LPA,Medium-term,Moderate,Healthcare,Clinical Research Director
3–6 LPA,Short-term,Stable,Consulting,Data Analyst Trainee
18+ LPA,Long-term,High-growth,Technology,Machine Learning Lead
18+ LPA,Medium-term,High-growth,Technology,Product Manager
12–18 LPA,Medium-term,High-growth,Consulting,Project Manager
18+ LPA,Long-term,High-growth,Finance,Investment Banker
12–18 LPA,Long-term,Stable,Finance,Actuary
12–18 LPA,Long-term,Moderate,Finance,Data Scientist
18+ LPA,Medium-term,Moderate,Consulting,Senior Consultant
6–12 LPA,Short-term,Stable,Consulting,Research Analyst
6–12 LPA,Short-term,Stable,Technology,Junior Developer
18+ LPA,Long-term,Stable,Healthcare,Senior Physician
12–18 LPA,Long-term,Stable,Consulting,HR Consultant
12–18 LPA,Long-term,Stable,Healthcare,Radiologist
18+ LPA,Long-term,High-growth,Technology,Data Scientist
18+ LPA,Long-term,Stable,Finance,Risk Director
18+ LPA,Long-term,Moderate,Consulting,UX Designer
18+ LPA,Long-term,High-growth,Finance,Quantitative Analyst
6–12 LPA,Short-term,Stable,Technology,QA Engineer
6–12 LPA,Short-term,Stable,Public Sector,Bank PO
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
18+ LPA,Medium-term,Moderate,Consulting,Practice Lead
18+ LPA,Long-term,Stable,Healthcare,Medical Director
12–18 LPA,Medium-term,Moderate,Healthcare,Pharmacist
6–12 LPA,Medium-term,Moderate,Finance,Wealth Advisor
18+ LPA,Medium-term,Moderate,Public Sector,ISRO Scientist
3–6 LPA,Short-term,Stable,Public Sector,Clerk
18+ LPA,Long-term,High-growth,Healthcare,Surgeon
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
18+ LPA,Long-term,Moderate,Technology,UX Designer
18+ LPA,Short-term,High-growth,Finance,High Frequency Trader
12–18 LPA,Medium-term,Moderate,Consulting,Business Analyst
18+ LPA,Long-term,Moderate,Public Sector,Project Manager
3–6 LPA,Short-term,Stable,Consulting,Data Analyst Trainee
12–18 LPA,Medium-term,Moderate,Technology,Full Stack Developer
18+ LPA,Long-term,Stable,Healthcare,Senior Physician
18+ LPA,Medium-term,Moderate,Consulting,Senior Consultant
12–18 LPA,Short-term,High-growth,Technology,IoT Specialist
6–12 LPA,Medium-term,Moderate,Healthcare,Occupational Therapist
6–12 LPA,Short-term,Stable,Public Sector,Bank PO
18+ LPA,Medium-term,Moderate,Consulting,Practice Lead
12–18 LPA,Short-term,High-growth,Technology,Blockchain Developer
12–18 LPA,Short-term,High-growth,Technology,IoT Specialist
12–18 LPA,Medium-term,Moderate,Healthcare,Physiotherapist
12–18 LPA,Medium-term,Moderate,Technology,Cybersecurity Analyst
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
18+ LPA,Long-term,Moderate,Healthcare,Product Manager
6–12 LPA,Short-term,Stable,Public Sector,Railway Officer
6–12 LPA,Short-term,Stable,Healthcare,Lab Technician
18+ LPA,Long-term,High-growth,Public Sector,IPS Officer
6–12 LPA,Short-term,Stable,Consulting,Junior Consultant
18+ LPA,Long-term,High-growth,Technology,Machine Learning Lead
18+ LPA,Medium-term,High-growth,Consulting,UX Designer
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
6–12 LPA,Medium-term,Moderate,Technology,Mobile App Developer
18+ LPA,Long-term,Stable,Healthcare,Hospital Administrator
6–12 LPA,Short-term,Stable,Technology,QA Engineer
18+ LPA,Medium-term,Moderate,Consulting,Senior Consultant
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
12–18 LPA,Long-term,Stable,Consulting,Change Management Consultant
18+ LPA,Medium-term,Moderate,Healthcare,UX Designer
12–18 LPA,Long-term,High-growth,Public Sector,Project Manager
12–18 LPA,Medium-term,Moderate,Consulting,Business Analyst
12–18 LPA,Long-term,Moderate,Finance,Data Scientist
18+ LPA,Medium-term,High-growth,Technology,Business Analyst
18+ LPA,Medium-term,Moderate,Public Sector,ISRO Scientist
12–18 LPA,Long-term,Stable,Healthcare,Radiologist
3–6 LPA,Short-term,Stable,Consulting,Data Analyst Trainee
12–18 LPA,Long-term,Stable,Healthcare,Radiologist
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
6–12 LPA,Short-term,Stable,Healthcare,Nurse
3–6 LPA,Short-term,Stable,Public Sector,Clerk
18+ LPA,Long-term,High-growth,Finance,Portfolio Manager
6–12 LPA,Short-term,Stable,Healthcare,Medical Coder
18+ LPA,Long-term,Stable,Consulting,Consulting Director
18+ LPA,Long-term,High-growth,Technology,AI Engineer
12–18 LPA,Long-term,Stable,Consulting,Change Management Consultant
6–12 LPA,Short-term,Stable,Finance,Auditor
12–18 LPA,Medium-term,High-growth,Healthcare,UX Designer
6–12 LPA,Medium-term,Moderate,Finance,Tax Consultant
12–18 LPA,Long-term,Stable,Finance,Compliance Officer
6–12 LPA,Medium-term,Moderate,Consulting,Sales Consultant
12–18 LPA,Medium-term,Moderate,Healthcare,Clinical Researcher
18+ LPA,Medium-term,Moderate,Technology,DevOps Lead
6–12 LPA,Short-term,Stable,Public Sector,Government Clerk
18+ LPA,Long-term,Stable,Consulting,Client Partner
3–6 LPA,Long-term,Stable,Healthcare,Patient Care Coordinator
6–12 LPA,Short-term,Stable,Healthcare,Lab Technician
12–18 LPA,Long-term,Stable,Public Sector,State Civil Services
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
3–6 LPA,Short-term,Stable,Finance,Teller
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
12–18 LPA,Long-term,Stable,Public Sector,Public Sector Manager
3–6 LPA,Long-term,Stable,Public Sector,Anganwadi Worker
18+ LPA,Medium-term,Moderate,Public Sector,ISRO Scientist
18+ LPA,Long-term,Stable,Finance,CFO
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
18+ LPA,Short-term,High-growth,Finance,High Frequency Trader
6–12 LPA,Medium-term,Moderate,Technology,UX Designer
12–18 LPA,Medium-term,Moderate,Technology,Cybersecurity Analyst
18+ LPA,Long-term,High-growth,Technology,Cloud Architect
6–12 LPA,Medium-term,Moderate,Technology,UX Designer
18+ LPA,Medium-term,Moderate,Technology,DevOps Lead
18+ LPA,Medium-term,Moderate,Public Sector,Public Sector Executive
6–12 LPA,Short-term,Stable,Technology,QA Engineer
18+ LPA,Long-term,High-growth,Finance,Data Scientist
3–6 LPA,Short-term,Stable,Finance,Bank Clerk
12–18 LPA,Medium-term,Moderate,Healthcare,UX Designer
3–6 LPA,Long-term,Stable,Public Sector,Primary Teacher
18+ LPA,Medium-term,High-growth,Healthcare,UX Designer
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
18+ LPA,Medium-term,Moderate,Technology,Principal Engineer
12–18 LPA,Medium-term,Moderate,Consulting,IT Consultant
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
3–6 LPA,Short-term,Stable,Technology,Help Desk Analyst
6–12 LPA,Medium-term,Moderate,Finance,Wealth Advisor
12–18 LPA,Medium-term,High-growth,Technology,Product Manager
6–12 LPA,Medium-term,Moderate,Finance,Wealth Advisor
12–18 LPA,Long-term,Moderate,Technology,Project Manager
6–12 LPA,Medium-term,Moderate,Public Sector,Police Sub-Inspector
12–18 LPA,Medium-term,Moderate,Consulting,Business Analyst
18+ LPA,Short-term,High-growth,Technology,Tech Entrepreneur
12–18 LPA,Long-term,High-growth,Healthcare,Data Scientist
12–18 LPA,Long-term,Moderate,Consulting,UX Designer
12–18 LPA,Short-term,High-growth,Technology,IoT Specialist
18+ LPA,Medium-term,Moderate,Healthcare,Clinical Research Director
18+ LPA,Long-term,Stable,Finance,Risk Director
6–12 LPA,Medium-term,Moderate,Public Sector,Police Sub-Inspector
12–18 LPA,Long-term,Stable,Consulting,Change Management Consultant
12–18 LPA,Medium-term,Moderate,Finance,Equity Research Analyst
6–12 LPA,Long-term,Stable,Public Sector,School Teacher
18+ LPA,Long-term,High-growth,Healthcare,Medical Specialist
18+ LPA,Medium-term,Moderate,Finance,Private Equity Associate
12–18 LPA,Medium-term,Moderate,Finance,Equity Research Analyst
12–18 LPA,Medium-term,Moderate,Consulting,Business Analyst
6–12 LPA,Short-term,Stable,Finance,Auditor
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
18+ LPA,Short-term,High-growth,Technology,Tech Entrepreneur
6–12 LPA,Short-term,Stable,Healthcare,Lab Technician
6–12 LPA,Short-term,Stable,Healthcare,Medical Coder
3–6 LPA,Short-term,Stable,Technology,Data Entry Operator
12–18 LPA,Long-term,Stable,Public Sector,Public Sector Manager
6–12 LPA,Medium-term,Moderate,Consulting,Marketing Consultant
3–6 LPA,Short-term,Stable,Healthcare,Pharmacy Technician
3–6 LPA,Short-term,Stable,Consulting,Data Analyst Trainee
6–12 LPA,Medium-term,Moderate,Technology,Technical Writer
12–18 LPA,Medium-term,Moderate,Consulting,Business Analyst
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
18+ LPA,Long-term,Moderate,Finance,Data Scientist
6–12 LPA,Medium-term,Moderate,Technology,Mobile App Developer
18+ LPA,Long-term,High-growth,Healthcare,Surgeon
12–18 LPA,Medium-term,Moderate,Consulting,Operations Consultant
18+ LPA,Long-term,High-growth,Technology,AI Engineer
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
12–18 LPA,Medium-term,Moderate,Technology,Cybersecurity Analyst
18+ LPA,Medium-term,Moderate,Public Sector,Public Sector Executive
6–12 LPA,Medium-term,Moderate,Consulting,Marketing Consultant
6–12 LPA,Short-term,Stable,Technology,Junior Developer
6–12 LPA,Medium-term,Moderate,Consulting,Sales Consultant
3–6 LPA,Short-term,Stable,Healthcare,Pharmacy Technician
18+ LPA,Long-term,Stable,Public Sector,DRDO Scientist
3–6 LPA,Short-term,Stable,Consulting,Data Analyst Trainee
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
6–12 LPA,Medium-term,Moderate,Finance,Wealth Advisor
18+ LPA,Long-term,Stable,Healthcare,Senior Physician
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
3–6 LPA,Long-term,Stable,Healthcare,Patient Care Coordinator
18+ LPA,Medium-term,Moderate,Finance,Private Equity Associate
12–18 LPA,Medium-term,Moderate,Healthcare,Clinical Researcher
18+ LPA,Long-term,Stable,Finance,VP Finance
6–12 LPA,Short-term,Stable,Consulting,Research Analyst
18+ LPA,Medium-term,Moderate,Technology,DevOps Lead
6–12 LPA,Medium-term,Moderate,Public Sector,Police Sub-Inspector
18+ LPA,Long-term,High-growth,Healthcare,Surgeon
3–6 LPA,Short-term,Stable,Consulting,Data Analyst Trainee
6–12 LPA,Long-term,Stable,Public Sector,School Teacher
18+ LPA,Long-term,Stable,Public Sector,Senior Bureaucrat
12–18 LPA,Medium-term,High-growth,Consulting,Business Analyst
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
18+ LPA,Long-term,Stable,Healthcare,Medical Director
6–12 LPA,Medium-term,Moderate,Finance,Tax Consultant
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
18+ LPA,Long-term,High-growth,Technology,Data Scientist
6–12 LPA,Medium-term,Moderate,Healthcare,Dietitian
12–18 LPA,Long-term,Stable,Public Sector,State Civil Services
12–18 LPA,Long-term,Stable,Healthcare,Radiologist
18+ LPA,Long-term,High-growth,Consulting,Partner
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
18+ LPA,Long-term,High-growth,Technology,Cloud Architect
12–18 LPA,Long-term,Stable,Healthcare,Radiologist
6–12 LPA,Short-term,Stable,Consulting,Junior Consultant
18+ LPA,Long-term,Stable,Consulting,Client Partner
3–6 LPA,Short-term,Stable,Technology,Help Desk Analyst
3–6 LPA,Long-term,Stable,Public Sector,Primary Teacher
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
18+ LPA,Short-term,High-growth,Technology,Tech Entrepreneur
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
3–6 LPA,Short-term,Stable,Finance,Bank Clerk
18+ LPA,Long-term,High-growth,Public Sector,IPS Officer
12–18 LPA,Medium-term,Moderate,Healthcare,Clinical Researcher
18+ LPA,Medium-term,High-growth,Technology,Business Analyst
3–6 LPA,Short-term,Stable,Finance,Accounts Executive
18+ LPA,Long-term,High-growth,Consulting,Management Consultant
6–12 LPA,Short-term,Stable,Public Sector,Railway Officer
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
18+ LPA,Long-term,Stable,Technology,Engineering Manager
6–12 LPA,Short-term,Stable,Public Sector,Bank PO
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
12–18 LPA,Medium-term,Moderate,Healthcare,Pharmacist
6–12 LPA,Short-term,Stable,Finance,Accountant
18+ LPA,Short-term,High-growth,Technology,Startup CTO
12–18 LPA,Medium-term,Moderate,Technology,Cybersecurity Analyst
3–6 LPA,Long-term,Stable,Public Sector,Anganwadi Worker
12–18 LPA,Medium-term,Moderate,Healthcare,Pharmacist
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
18+ LPA,Long-term,Stable,Public Sector,University Professor
18+ LPA,Medium-term,Moderate,Consulting,Practice Lead
18+ LPA,Long-term,High-growth,Consulting,Management Consultant
12–18 LPA,Long-term,Stable,Public Sector,Public Sector Manager
18+ LPA,Long-term,Stable,Healthcare,Hospital Administrator
12–18 LPA,Medium-term,Moderate,Finance,Equity Research Analyst
18+ LPA,Short-term,High-growth,Technology,Startup CTO
18+ LPA,Long-term,High-growth,Consulting,UX Designer
12–18 LPA,Medium-term,Moderate,Healthcare,Clinical Researcher
12–18 LPA,Long-term,Moderate,Public Sector,Project Manager
18+ LPA,Long-term,High-growth,Healthcare,Medical Specialist
12–18 LPA,Long-term,High-growth,Technology,Product Manager
18+ LPA,Long-term,High-growth,Public Sector,IPS Officer
18+ LPA,Medium-term,Moderate,Consulting,Practice Lead
12–18 LPA,Medium-term,Moderate,Consulting,Data Scientist
12–18 LPA,Short-term,High-growth,Technology,Blockchain Developer
18+ LPA,Long-term,Stable,Consulting,Consulting Director
18+ LPA,Long-term,High-growth,Finance,Investment Banker
12–18 LPA,Long-term,Stable,Healthcare,Radiologist
18+ LPA,Long-term,Stable,Public Sector,University Professor
18+ LPA,Short-term,High-growth,Finance,High Frequency Trader
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
